semester,day,classroom,capacity,occupied_periods,Nheld,Dw,fw
fall,mon,61-102,135,0,0,0.0,0.0
fall,tue,52-201,142,0,0,0.0,0.0
fall,wed,61-102,135,0,0,0.0,0.0
fall,thu,57-202,420,0,0,0.0,0.0
fall,fri,52-202,201,0,0,0.0,0.0
winter,mon,61-102,135,0,0,0.0,0.0
winter,tue,52-201,142,0,0,0.0,0.0
winter,wed,61-102,135,0,0,0.0,0.0
winter,thu,57-202,420,0,0,0.0,0.0
winter,fri,52-202,201,0,0,0.0,0.0
