period,52-102,52-103,52-104,52-201,52-202,52-204,52-302,52-303,52-304,53-B01,53-B03,53-B04,53-101,53-103,53-104,53-201,53-203,53-204,53-301,53-303,53-304,53-401,53-403,53-404,54-B01,54-B02,54-B03,54-B04,54-101,54-102,54-103,54-104,54-201,54-202,54-203,54-204,54-301,54-302,54-303,54-304,54-401,54-402,54-403,54-404,55S-02-01,55S-03-01,55S-03-03,55S-03-07,55S-03-08,55S-03-09,56-101,56-102,56-103,56-104,57-201,57-202,60-102,60-202,61-102B,61-104,61-202,61-206,61-210,61-214,61-302,61-306,61-310,61-314,61-401,61-405,61-409,61-413,63-02-01,63-02-02,63PC-A,63PC-B,63PC-C,63PC-D,63PC-E,63PC-F,63PC-G
1,CHMC10ZL:Chemistry C  Kikan(5),CHMC10ZL:Chemistry C  Kikan(6),PCSX30ZL:Process Design,,CHMC10ZL:Chemistry C  Kikan(3),,,,,LANG10ZF:Beginners German IIB Fall Semester-Wed-1 Murai,LANE10ZF:Communication Strategies 2 Wed-1 LITTLE,,LANE10ZF:Communication Strategies 2 Wed-1 BURTON,LANC10ZF:Beginners Chinese IIA fall semester-Wed-1 Chen,CHMC33ZL:Computational Chemistry,COMX60ZL:Advanced Matrix Computation,MATX22ZL:Foundations of Geometry,LANE10ZF:Communication Strategies 2 Wed-1 WILCOX,CHMM30ZL:Fundamentals of Materials Chemistry,PHYB23ZL:Statistical Mechanics,,,,,,LANE10ZF:Communication Strategies 2 Wed-1 FUKUDA,,,MATX35ZL:Mathematics of Cryptography and Information Security,LANE10ZF:Communication Strategies 2 Wed-1 TANAKA,,,,,,,LANE10ZF:Communication Strategies 2 Wed-1 HARRISON,,,ARSE20ZL:Regional Studies: France,,,,,,,,,,,,CHMC10ZL:Chemistry C  Kikan(1),,,ADEX36ZL:Building Construction Method II,,,,,,,,,,,,,,,,,,CHMC10ZL:Chemistry C  Kikan(4),INFY10ZL:Basics of Media Science and Engineering,INFP21ZW:C Programming  Densei1,INFP11ZW:Java Programming  Densei1,,,,INFY31ZW:Communications Engineering Laboratory;ELCX31ZW:Communications Engineering Laboratory,
2,,COMX20ZL:Data Visualization,,,MECX31ZL:Micro-nano Machine,CHMC10ZL:Chemistry C  Kikan(2),PHYP20ZL:Physics of Semiconductors,,ADEX26ZL:Static Mechanics in Building Structures 1,LANG10ZF:Beginners German IIB Fall Semester-Wed-2 Murai,LANE10ZF:Communication Strategies 2 Wed-2 LITTLE,LANG10ZF:Beginners German IIA Fall Semester-Wed-2 Haga,LANE10ZF:Communication Strategies 2 Wed-2 BURTON,LANC10ZF:Beginners Chinese IIB fall semester-Wed-2 Chen,,,MATX22ZL:Exercises in Geometry,LANE10ZF:Communication Strategies 2 Wed-2 WILCOX,ENVE33ZL:Resources Processing Engineering,ARTF23ZL:Lecture on Structures of Representation in Cinema,LANE10ZF:Communication Strategies 2 Wed-2 WONG,,INFI31ZL:Artificial Intelligence and Complex Systems,ENVV33ZL:Eco-Design,INFG31ZL:Computer Network and Cyber Security,,,,ELCX31ZL:Teletraffic Theory,LANE10ZF:Communication Strategies 2 Wed-2 TANAKA,ADEX38ZL:Building Economics,PHYA32ZL:Electronics B,CHMC31ZL:Radiation Chemistry,PHYP21ZL:Electromagnetics B  Shigen;PHYP21ZL:Electromagnetism B,,,LANE10ZF:Communication Strategies 2 Wed-2 HARRISON,ELCX31ZL:Transmission Theory,,,ENVV20ZL:Environmental Science A,MATX42ZL:Geometry E2;MATX62ZL:Introduction to Algebraic Geometry B,,MGTX20ZL:Business Data Analysis,CSTX33ZL:Transport-based City Planning,,,,MATX20ZL:Introduction to Set Theory,,INFY10ZL:Human Factors and Ergonomics in Data Science,CHMC23ZL:Chemical Engineering B;PCSX20ZL:Chemical Engineering B,ADEX60ZL:Advanced Topics in Architectural Design and Engineering B,CSTX23ZL:Landscape Design,INFV21ZL:Biology for Computer Science,PHYB25ZL:Fourier Analysis,LANF10ZF:Beginners French IIB fall semester-Wed-2 Kubota,,,,,,,,,,,,,,MGTX66ZL:Advanced Mathematical Decision Making,CHMC61ZL:Advanced inorganic materials chemistry,PHYP32ZL:Modelling for Engineering B,PHYP32ZL:Modelling for Engineering B,,,INFY11ZW:Computer Literacy  Shigen,,,INFY31ZW:Communications Engineering Laboratory;ELCX31ZW:Communications Engineering Laboratory,
3,CSTX24ZL:Soil Mechanics B,MECX37ZL:Combustion Dynamics,INFB31ZL:Computer Architecture B,,MATX23ZL:Complex analysis A;MATX33ZL:Complex Analysis A,MATX40ZL:History of Mathematics and Culture;MATX60ZL:Special Lecture on History of Mathematics and Culture,,MGTX35ZS:Data Engineering and Exercise;PHYA33ZS:Information Processing Systems,PHYB25ZL:Complex Analysis 2,ADEX68ZL:Advanced Building Construction Planning,,INFI61ZL:Data Science as Complex Systems,,CHMC32ZL:Organic Stereochemistry,LANS10ZF:Beginners Spanish IIA fall semester-Wed-3 Okada,MGTX65ZL:Advanced Software Design,LANC10ZF:Beginners Chinese IIB fall semester-Wed-3 Lu,PHYP64ZL:Advanced Statistical Mechanics,CHMA35ZL:Environmental Geochemistry,LANE10ZF:Communication Strategies 2 Wed-3 FERRARO,MECX10ZL:Introduction to Mechanical Engineering,ADEX21ZS:Exercises in Architectural Design(A),ADEX21ZS:Exercises in Architectural Design(A),ELCX61ZL:Multimedia and Standards,ELCX65ZL:Advanced Power Electronics,LANE10ZF:Communication Strategies 2 Wed-3 WONG,MATX13ZL:Calculus B (2),,LANE10ZF:Communication Strategies 2 Wed-3 UEHARA,LANF10ZF:Beginners French IIA fall semester-Wed-3 Noda,LANE10ZF:Communication Strategies 2 Wed-3 ESSEX,,,PHYP37ZL:Elementary Solid State Physics B;PHYP30ZL:Elementary Solid State Physics B,LANG10ZF:Beginners German IIA Fall Semester-Wed-3 Murai,MATX33ZL:Introduction to Functional Analysis,MATX61ZL:Topics in Number Theory B;MATX61ZL:Cyclotomic Field and Iwasawa Theory,PHYP10ZL:Physics Seminar,INFJ31ZL:Multimedia Systems A,INFI20ZL:Basics of Cognitive Science,LANE10ZF:Communication Strategies 2 Wed-3 SLOBODNIUK,ADEX21ZS:Exercises in Architectural Design(A),,ADEX21ZS:Exercises in Architectural Design(A),ELCX32ZL:Electronic Circuits B,CSTX63ZL:Planning of Urban Infrastructure Facilities;CSTX63ZL:Traffic and Safety Sciences,POLX24ZL:International Relations,PHYA60ZL:Experimental High Energy Particle Physics A,ELCX22ZL:Electronic Circuit Theory A,,MECX21ZW:Mechanics Engineering drawing F,MECX21ZW:Mechanics Engineering drawing F,"ELCX10ZL:Fundamentals of Electricity, Electronics and Atoms",ADEX31ZL:Exercises in Architectural Design(E);ADEX61ZL:Exercises in Architectural Design(E),ADEX21ZS:Exercises in Architectural Design(C),PHLV18ZL:Representation and Language,ADEX36ZL:Reinforced Concrete Structural Design II,,,,,,CMFE62ZL:Advanced Digital Media Expression,,CSTX10ZW:Geoinformatics:Field Practice;CSTX10ZW:Spatial Information Practice,CSTX10ZW:Geoinformatics:Field Practice;CSTX10ZW:Spatial Information Practice,,,,,,MECX61ZL:Optimization and Satisficing Design of Mechanical System,ADEX21ZS:Exercises in Architectural Design(A),ELCX21ZL:Communication Theory,,,INFP11ZW:C Programming  Kikan(1),,,LANE60ZF:Advanced Technical Presentation Wed-3 ANTHONY,
4,PLNX24ZL:Mineralogy and Petrology,BIOX12ZL:Life science B (1),BIOX12ZL:Life science B (2),PHYB11ZL:Dynamics B  Shigen,CSTX23ZL:National and Regional Planning System,ELCX61ZL:Photonic Systems,,,MATX11ZL:Mathematics A2  Kikan(1),ADEX68ZL:Advanced Building Construction Planning,LANE10ZF:Academic Reading 2 Wed-4 FERREIRA,IENI21ZL:Introduction to Petroleum Engineering,,,LANS10ZF:Beginners Spanish IIA fall semester-Wed-4 Okada,,LANC10ZF:Beginners Chinese IIA fall semester-Wed-4 Lyu,,,LANE10ZF:Academic Reading 2 Wed-4 FERRARO,,ADEX21ZS:Exercises in Architectural Design(A),ADEX21ZS:Exercises in Architectural Design(A),,,LANF10ZF:French IIA Gakuin class fall semester-Wed-4 Noda;LANF20ZF:Intermediate French IIA fall semester-Wed-4 Noda;LANF20ZF:French IIA Gakuin class fall semester-Wed-4 Noda,,,"ARTV28ZL:Art: Line, Structure and Color",LANG10ZF:Beginners German IIB Fall Semester-Wed-4 Haga,LANE10ZF:Academic Reading 2 Wed-4 ESSEX,IENI22ZL:Environmental Remediation Engineering,,MATX23ZL:Mathematics E  Densei,INFJ31ZL:Optical Communication Technology,CMFE15ZL:Theories of Literary Expression,LANS10ZF:Beginners Spanish IIB fall semester-Wed-4 Mizuguchi,PHYP10ZL:Physics Seminar,,CSTX35ZL:Environmental and Disaster Prevention Engineering in drainage basin,LANE10ZF:Academic Reading 2 Wed-4 SLOBODNIUK,ADEX21ZS:Exercises in Architectural Design(A),STSX20ZS:Seminar on Problem Solving,ADEX21ZS:Exercises in Architectural Design(A),,,,,,,MECX21ZW:Mechanics Engineering drawing F,MECX21ZW:Mechanics Engineering drawing F,PHYP30ZL:Solid State Physics,ADEX31ZL:Exercises in Architectural Design(E);ADEX61ZL:Exercises in Architectural Design(E),ADEX21ZS:Exercises in Architectural Design(C),,,ENVV66ZL:Advanced Topic on Geo-environmental Engineering,,,,LANE10ZF:Academic Reading 2 Wed-4 DYER,MGTX37ZL:Human Factors in Safety;MGTX67ZL:Human Factors Management,,CSTX10ZW:Geoinformatics:Field Practice;CSTX10ZW:Spatial Information Practice,CSTX10ZW:Geoinformatics:Field Practice;CSTX10ZW:Spatial Information Practice,,,,,MECX37ZL:Thermal Energy Reaction Engineering,,ADEX21ZS:Exercises in Architectural Design(A),,,,INFP11ZW:C Programming  Kikan(4),,,,LANE30ZF:Technical Writing 2 Wed-4 SUZUKI
5,PHYB10ZL:Fundamental Physics B  Sougoukikai(1),PHYB11ZL:Dynamics B  Densei,,,,PHYB10ZL:Fundamental Physics B  Sougoukikai(2),CHMC33ZS:Physical Chemistry: Exercise,,MATX11ZL:Mathematics A2  Kikan(1),ELCX20ZL:Electromagnetism B,LANE10ZF:Academic Reading 2 Wed-5 FERREIRA,HISV18ZL:History of Science,LANC10ZF:Beginners Chinese IIB fall semester-Wed-5 Oh,MATX35ZL:Mathematical Physics,PHYP68ZL:Dynamics of Biological Systems,,LANC10ZF:Beginners Chinese IIA fall semester-Wed-5 Lu,LANE10ZF:Academic Reading 2 Wed-5 OKAMOTO,PHYB12ZL:Fundamental Electromagnetism  Keiei(2),LANE10ZF:Academic Reading 2 Wed-5 FERRARO,LANE10ZF:Concept Building And Discussion 2 Wed-5 SAWYER,ADEX21ZS:Exercises in Architectural Design(A),ADEX21ZS:Exercises in Architectural Design(A),MECX65ZL:Analysis and Discussion of Papers on Advanced Robotics;MECX75ZL:Analysis and Discussion of Papers on Advanced Robotics,,,,,PLNX34ZL:Raw Materials Science,,LANE10ZF:Academic Reading 2 Wed-5 ESSEX,ELCX31ZL:Satellite Communications Technologies;ELCX41ZL:Satellite Communications Technologies,MECX61ZL:Human-being Design Engineering,LANE10ZF:Concept Building And Discussion 2 Wed-5 WONG,CSTX25ZL:Hydraulics A,,LANS10ZF:Beginners Spanish IIB fall semester-Wed-5 Mizuguchi,PHYA35ZL:Introduction to Nuclear Science and Technology,ADEX67ZL:Advanced Building Environment,CSTX33ZL:Policy Making for Social Infrastructure and Environment,LANE10ZF:Concept Building And Discussion 2 Wed-5 SLOBODNIUK,ADEX21ZS:Exercises in Architectural Design(A),STSX20ZS:Seminar on Problem Solving,ADEX21ZS:Exercises in Architectural Design(A),,,,,CSTX25ZS:Hydraulics:Exercises,,MECX25ZL:Mechatronics,CHMA30ZS:Applied Chemistry:Course Exercises,CSTX11ZL:Space Design,ADEX31ZL:Exercises in Architectural Design(E);ADEX61ZL:Exercises in Architectural Design(E),ADEX21ZS:Exercises in Architectural Design(C),,PHYP38ZL:Biophysics B,LANE70ZL:Doctoral Student Technical Writing fall Wed-5 KUNIYOSHI,MECX37ZL:Transport Phenomena;MECX37ZL:Transport Phenomena (Japanese),,,LANE10ZF:Concept Building And Discussion 2 Wed-5 DYER,MANX251L:Advanced Course on Entrepreneurship D;MANX651L:Advanced Course on Entrepreneurship D,MATX13ZL:Calculus B (1),,,,IENI30ZL:Electromechanical Energy Conversion,,,,PHLV28ZL:Introduction to Representation Theory,ADEX21ZS:Exercises in Architectural Design(A),MATX25ZL:Mathematics for Engineering 2,,,,,,LANE10ZF:Concept Building And Discussion 2 Wed-5 ANTHONY,LANE10ZF:Concept Building And Discussion 2 Wed-5 SUZUKI
6,,,ADEX25ZL:Plan of Urban Design and Landscape I B,,ADEX11ZL:Introduction to Architectural Design,,,,MGTX30ZS:Industrial and Management Engineering Seminar A,,,,,,,,,,,,,,,,,,,,,,,,,,,PHYB10ZL:Fundamental Physics B  Gaikokugakusei,,,,,,,,,,,,,,,,,,,,,,MGTX65ZL:IT Governance and IT Security,,,,,,,,,,,,,,,,,,,,,,,LANE10ZF:Concept Building And Discussion 2 Wed-6 SUZUKI
