period,52-102,52-103,52-104,52-201,52-202,52-204,52-302,52-303,52-304,53-B01,53-B03,53-B04,53-101,53-103,53-104,53-201,53-203,53-204,53-301,53-303,53-304,53-401,53-403,53-404,54-B01,54-B02,54-B03,54-B04,54-101,54-102,54-103,54-104,54-201,54-202,54-203,54-204,54-301,54-302,54-303,54-304,54-401,54-402,54-403,54-404,55S-02-01,55S-03-01,55S-03-03,55S-03-07,55S-03-08,55S-03-09,56-101,56-102,56-103,56-104,57-201,57-202,60-102,60-202,61-102B,61-104,61-202,61-206,61-210,61-214,61-302,61-306,61-310,61-314,61-401,61-405,61-409,61-413,63-02-01,63-02-02,63PC-A,63PC-B,63PC-C,63PC-D,63PC-E,63PC-F,63PC-G
1,CHMC22ZS:Organic Chemistry : Exercises;CHMC22ZS:Organic Chemistry: Exercises,MATX11ZL:Mathematics A2  Kikan(2),MECX36ZL:Mechanics and Technology of Plasticity,PHYB12ZL:Fundamental Electromagnetism  Keiei(1),,,,,PHYB10ZL:Fundamental Physics B  Kikan(6),LANE10ZF:Communication Strategies 2 Thu-1 ROMANO,LANS10ZF:Beginners Spanish IIB fall semester-Thu-1 Almaraz,,INFE41ZL:Digital Image Processing,LANC10ZF:Beginners Chinese IIB fall semester-Thu-1 Oe,LANE10ZF:Communication Strategies 2 Thu-1 YOSEF,,INFI41ZL:Information Retrieval;INFI61ZL:Information Retrieval,LANE10ZF:Communication Strategies 2 Thu-1 SHEEHAN,,,MATX63ZL:Advanced Functional Analysis,,IENI22ZL:Introduction to Resources Recycling Engineering,,,,,,LANE10ZF:Communication Strategies 2 Thu-1 BERTHIAUME,LANE10ZF:Communication Strategies 2 Thu-1 WILCOX,MATX11ZL:Linear Algebra A (2),LANE10ZF:Communication Strategies 2 Thu-1 VAJIRASARN,LANE10ZF:Communication Strategies 2 Thu-1 TANAKA,,PLNX20ZL:Geoinfomatics,,,,,"CMFE24ZL:Introduction to Modern Representations, Music",,,LANE10ZF:Communication Strategies 2 Thu-1 ORITA,CHMC33ZS:Applied Physical Chemistry and Exercise B,CMFC11ZL:Food Culture Studies,,,,,,ECNE20ZL:Macroeconomics A,,,MATX11ZL:Mathematics A2  Kikan(4),,,,LANE10ZF:Communication Strategies 2 Thu-1 OJIMA,,,,,,,,,,,LANE10ZF:Communication Strategies 2 Thu-1 SAKAI,,,,CHMA22ZL:Biochemistry,ADEX20ZL:Environmental Aspects of Buildings and Cities,"INFP21ZW:C Programming Butsuri, Oubutsu",,MATX35ZL:Symbolic and Algebraic Computation,,,,
2,,ELCX20ZL:Circuit Theory B (1),ELCX20ZL:Circuit Theory B (2),MATX22ZL:Introduction to Set Theory and Topology B,,,MATX11ZL:Mathematics A2  Kikan(5),CHMC22ZL:Reaction Organic Chemistry;CHMC32ZL:Advanced Organic Chemistry,CHMC11ZL:Inorganic Chemistry B,LANE10ZF:Academic Lecture Comprehension 2 Thu-2 ROMANO,LANS10ZF:Beginners Spanish IIB fall semester-Thu-2 Almaraz,GENX10ZL:Good and Evil: Great Books of the Humanities (2),INFY61ZL:Topics in Information Theory A,LANC10ZF:Beginners Chinese IIA fall semester-Thu-2 Oe,ENVV653L:Environment and Energy Business Practical Lecture,,CHMC33ZL:Spectrochemistry;CHMC32ZL:Spectrochemistry,,ADEX63ZL:Advanced Comparative Architectural History,MEDV20ZL:Microbiology,MATX34ZL:Applied Statistics;MATX64ZL:Statistical Science C,,,LANE60ZF:Workplace English 2 Thu-2 SHEEHAN;LANE70ZL:Workplace English2 Thu-2 SHEEHAN,"MECX12ZL:Statics, Kinematics and Dynamics of Mechanisms",PHYP64ZL:Physics of Non-Equilibrium Systems B;PHYP74ZL:Physics of Non-Equilibrium Systems B,LANE10ZF:Academic Lecture Comprehension 2 Thu-2 KATAYAMA,ADEX36ZL:Steel Structural Design (II),LANE10ZF:Academic Lecture Comprehension 2 Thu-2 BERTHIAUME,,LANS20ZF:Intermediate Spanish IIB fall semester-Thu-2 Okada,CMMM20ZL:Advanced Marketing,LANE10ZF:Academic Lecture Comprehension 2 Thu-2 TANAKA,PHYP36ZL:Quantum Chemistry,,ELCX31ZL:Pattern Recognition and Machine Learning,,LANE10ZF:Academic Lecture Comprehension 2 Thu-2 GREEN,LANC10ZF:Beginners Chinese IIA fall semester-Thu-2 Wang,,ARSV20ZL:Regional Studies: The English Speaking World,MATX11ZL:Mathematics A2  Kagaku,LANE10ZF:Academic Lecture Comprehension 2 Thu-2 ORITA,CHMC33ZS:Applied Physical Chemistry and Exercise B,,,,,,,MGTX36ZL:Mathematical Statistics;MGTX66ZL:Mathematical Statistics,,ELCX22ZL:Electronic Devices,,ADEX23ZL:History of Western Architecture,,,LANE10ZF:Academic Lecture Comprehension 2 Thu-2 OJIMA,LANS10ZF:Beginners Spanish IIA fall semester-Thu-2 Hasegawa,,,,LITV18ZL:Literary Theories,,,,,INFI61ZL:Advances in Bioinformatics,LANE30ZL:Special Topics in Functional English Thu-2 SAKAI,,PHYP30ZW:Physics Laboratory,,MGTX24ZL:Quality Management,PHYB23ZL:Thermodynamics,,ARTP25ZL:Photographic Expression Practice II;ARTP35ZL:Photographic Expression Practice II,PLNX20ZL:Geo-Information Engineering,,,,
3,,,,,PHYB10ZL:Fundamental Physics B  Kikan(2),LAWA11ZL:Constitutional Law IIB,,,PHYB10ZL:Fundamental Physics B  Kikan(1),LANE10ZF:Academic Lecture Comprehension 2 Thu-3 HAIR,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 ROMANO,,LANE60ZF:Advanced Technical Presentation Thu-3 ROSE,LANC10ZF:Beginners Chinese IIA fall semester-Thu-3 Wang,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 VAJIRASARN,,LANC10ZF:Beginners Chinese IIB fall semester-Thu-3 Abe,LANE10ZF:Concept Building And Discussion 2 Thu-3 GREEN,,STSX25ZL:Theory of Science and Technology Policy;STSX15ZL:Policy Studies of Science and Technology,LANC10ZF:Beginners Chinese IIB fall semester-Thu-3 Wang,MATX35ZL:Mathematics of Fluids,,CSTX26ZL:Materials and Structures A,ADEX36ZL:Foundation Structure Design,LANG10ZF:Beginners German IIA Fall Semester-Thu-3 Ishii,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 KATAYAMA,,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 BERTHIAUME,,,LANG10ZF:German IIA Gakuin class Fall Semester-Thu-3 Tanaka;LANG20ZF:Intermediate German IIA Fall Semester-Thu-3 Tanaka;LANG20ZF:German IIA Gakuin class Fall Semester-Thu-3 Tanaka,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 NAKANO,HISA21ZL:East Asian Traditional Urban and Cultural Heritage,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 TANAKA,MTLX35ZL:Metal Materials;MTLX60ZL:Metallic Materials,LANE10ZF:Concept Building And Discussion 2 Thu-3 SUGAWARA,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 NADER,LANE10ZF:Concept Building And Discussion 2 Thu-3 WILCOX,,LANE10ZF:Concept Building And Discussion 2 Thu-3 HINTON,,,,,,,,,,,IENI41ZL:Frontiers of Energy Resource and Petroleum Technology;IENI61ZL:Frontiers of Energy Resource and Petroleum Technology;IENI611L:Frontiers of Energy Resource and Petroleum Technology;IENI41ZL:Frontiers of Energy Resource and Petroleum Technology (Japanese),,,,,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 SHEEHAN,,LANS10ZF:Beginners Spanish IIB fall semester-Thu-3 Hasegawa,,,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 DYER,"PHYB10ZL:General Physics B: Waves, Optics, and Thermodynamics",,,,,,LANE10ZF:Academic Lecture Comprehension 2 Thu-3 SAKAI,,PHYP30ZW:Physics Laboratory,,,,INFY21ZS:Bioinformatics: Exercise I,ARTP25ZL:Photographic Expression Practice II;ARTP35ZL:Photographic Expression Practice II,,,,,
4,,,,,,,,PHYB12ZL:Fundamental Electromagnetism  Kagaku,,LANE10ZF:Concept Building And Discussion 2 Thu-4 HAIR,LANE10ZF:Academic Reading 2 Thu-4 ROMANO,,ADEX66ZL:Advanced Mechanics of Light-gage Steel and Wood Structures,ELCX62ZL:Ultra-fast photonic devices,,LANE10ZF:Academic Reading 2 Thu-4 BURTON,LANC10ZF:Beginners Chinese IIB fall semester-Thu-4 Abe,,INFI21ZL:Artificial Intelligence,MATX34ZL:Actuarial Science;CMMR683L:Actuarial Science,LANC10ZF:Beginners Chinese IIB fall semester-Thu-4 Wang,ELCX20ZS:Electronic and Physical Systems Practice B,ELCX20ZS:Electronic and Physical Systems Practice B,,LANE10ZF:Communication Strategies 2 Thu-4 WONG,,,,LANE10ZF:Academic Reading 2 Thu-4 BERTHIAUME,,LANE10ZF:Concept Building And Discussion 2 Thu-4 FAYE,LANE10ZF:Communication Strategies 2 Thu-4 HARRISON,LANE10ZF:Communication Strategies 2 Thu-4 NAKANO,,,,LANE10ZF:Concept Building And Discussion 2 Thu-4 MARTIN,LANE10ZF:Academic Reading 2 Thu-4 NADER,LANE10ZF:Communication Strategies 2 Thu-4 WILCOX,,LANE10ZF:Communication Strategies 2 Thu-4 HINTON,,,,,MECX63ZL:Computational Fluid Mechanics,,,,,,PSYX23ZL:Cognitive Psychology II,,,,,LANE10ZF:Concept Building And Discussion 2 Thu-4 SHEEHAN,,LANS10ZF:Beginners Spanish IIA fall semester-Thu-4 Hasegawa,,PHLT13ZL:Political Theory (1);POLX12ZL:Political Theory (1),LANE10ZF:Academic Reading 2 Thu-4 DYER,,CHMC20ZL:General Chemistry B (3),,,,,,,PHYP30ZW:Physics Laboratory,,,,INFY21ZS:Bioinformatics: Exercise I,,ELCX20ZS:Electronic and Physical Systems Practice B,,,,LANE10ZF:Communication Strategies 2 Thu-4 SUZUKI
5,,,,INFR31ZL:Informationalized Society,,,IENI33ZL:Space Science and Technology;IENI63ZL:Space Science and Technology,CSTX60ZL:Sustainable Development Goals (SDGs),,CSTX23ZL:Fundamentals of Urban Studies and Planning A,ELCX32ZL:Physics of Semiconductor Devices 1;ELCX35ZL:Physics of Semiconductor devices 1,CSTX32ZL:Concrete Engineering,"LAWG22ZL:IPR, Digital Innovation ＆ CIO;LAWG62ZL:IPR, Digital Innovation ＆ CIO",MECX66ZL:Precision System  Machining,,LANE10ZF:Concept Building And Discussion 2 Thu-5 BURTON,ADEX64ZL:Advanced Theory: Architectural Design Concepts,LANE10ZF:Concept Building And Discussion 2 Thu-5 CHU,MATX35ZL:Mathematics of Digital Information,LANE10ZF:Concept Building And Discussion 2 Thu-5 GREEN,,ELCX20ZS:Electronic and Physical Systems Practice B,ELCX20ZS:Electronic and Physical Systems Practice B,,LANE10ZF:Concept Building And Discussion 2 Thu-5 WONG,,,,,MATX11ZL:Linear Algebra A (1),LANE10ZF:Concept Building And Discussion 2 Thu-5 FAYE,LANE10ZF:Concept Building And Discussion 2 Thu-5 HARRISON,,MECX47ZL:Thermal Power Plant;MECX67ZL:Engineering of Heat Engines;MECX671L:Engineering of Heat Engines;MECX47ZL:Thermal Power Plant (Japanese),,INFJ31ZL:Information Network Systems A,LANE10ZF:Concept Building And Discussion 2 Thu-5 MARTIN,PHLW21ZL:Western Classical Thought and Philosophy,LANE10ZF:Concept Building And Discussion 2 Thu-5 WILCOX,INFQ31ZL:Modern Information and Communication Systems,MGTX60ZL:Value-Creation Strategy,MTLX60ZL:Material Instrumental Analysis Evaluation B,,CMFC18ZL:International Exchange Studies,,INFF61ZL:Science and Engineering of Measurement,,,,,,,MECX12ZL:Project Based Learning Fund.,,,,CSTX36ZL:Bridge Engineering,,,,,LANE10ZF:Concept Building And Discussion 2 Thu-5 DYER,,,,,,,,,,LANE70ZL:Doctoral Student Technical Writing fall Thu-5 ROSE,,,,,ELCX20ZS:Electronic and Physical Systems Practice B,,,,LANE10ZF:Concept Building And Discussion 2 Thu-5 SUZUKI
6,,,ADEX21ZL:Modern Architecture in Japan Culture,,ADEX18ZL:Building Materials,,,,,,,,ADEX67ZL:Advanced Building Services Engineering,,,,,,,,,,,,,,,,MECX27ZL:Thermodynamics B,,,,,MANX158L:Introduction to Innovation beta;MANX654L:Introduction to Innovation beta,,,LANE10ZF:Communication Strategies 2 Thu-6 MARTIN,,,,,,,,,,,,,,,,MECX12ZL:Project Based Learning Fund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
