period,52-102,52-103,52-104,52-201,52-202,52-204,52-302,52-303,52-304,53-B01,53-B03,53-B04,53-101,53-103,53-104,53-201,53-203,53-204,53-301,53-303,53-304,53-401,53-403,53-404,54-B01,54-B02,54-B03,54-B04,54-101,54-102,54-103,54-104,54-201,54-202,54-203,54-204,54-301,54-302,54-303,54-304,54-401,54-402,54-403,54-404,55S-02-01,55S-03-01,55S-03-03,55S-03-07,55S-03-08,55S-03-09,56-101,56-102,56-103,56-104,57-201,57-202,60-102,60-202,61-102B,61-104,61-202,61-206,61-210,61-214,61-302,61-306,61-310,61-314,61-401,61-405,61-409,61-413,63-02-01,63-02-02,63PC-A,63PC-B,63PC-C,63PC-D,63PC-E,63PC-F,63PC-G
1,CHMA22ZL:Biochemistry B,,,,,,,,MECX24ZL:Material Fundamentals,LANE10ZF:Concept Building And Discussion 2 Mon-1 MACINNES,CSTX35ZL:Coastal and Port Engineering,,LANE10ZF:Communication Strategies 2 Mon-1 YUYAMA,CHMM63ZL:Hybrid Materials Chemistry,MATX41ZL:Algebra E2;MATX41ZL:Algebra B2;MATX61ZL:Algebraic Combinatorics A,,,LANC10ZF:Beginners Chinese IIA fall semester-Mon-1 Li,CHMC10ZL:Chemistry C  Gaikokugakusei,PHYA34ZL:Dynamical Systems,,,,NANX60ZL:Introduction to Molecular Nano-engineering;ELCX62ZL:Molecular Nanoengineering,,,LANE10ZF:Communication Strategies 2 Mon-1 FERRARO,,IENI62ZL:Analytical Methodology for Geoscience β,,,LANE10ZF:Communication Strategies 2 Mon-1 OJIMA,LANE10ZF:Communication Strategies 2 Mon-1 TANAKA,CHMC10ZL:Chemistry B1  Densei(1),LANE10ZF:Communication Strategies 2 Mon-1 BURTON,CHMC10ZL:Chemistry B1  Densei(2),LANE10ZF:Communication Strategies 2 Mon-1 DELGREGO,,,LANE10ZF:Concept Building And Discussion 2 Mon-1 KNIGHT,,,,,,,,,,,CHMA42ZL:Bioprocess;CHMA32ZL:Bioprocess,SYSV20ZL:System Analysis,,MATX11ZL:Mathematics A2  Kikan(4),ADEX25ZL:City Planning,,,,,,CHMC10ZL:General Chemistry A (1),,,,,,,,,,,LANE10ZF:Communication Strategies 2 Mon-1 YOSEF,,,"INFY11ZW:Computer Literacy  Kenchiku;INFY11ZW:Computer Literacy Butsuri, Oubutsu",INFP11ZW:C Programming  Kikan(9),INFP11ZW:C Programming  Kikan(3),,,,
2,,MATX11ZL:Mathematics A2  Kagaku,MGTX28ZL:Profit Management,PSYX27ZL:Social Psychology II,,IENI23ZL:Aerospace Engineering Materials,,CSTX26ZL:Structural Design,MECX24ZL:Materials Engineering,LANG10ZF:Beginners German IIA Fall Semester-Mon-2 Ishii,LANG10ZF:Beginners German IIB Fall Semester-Mon-2 Haga,,,,,CSTX10ZL:Applied Mathematics for Civil and Environmental Engineers,CHMC34ZS:Instrumental Analysis,LANC20ZF:Chinese IIB Gakuin class fall semester-Mon-2 Li;LANC20ZF:Intermediate Chinese IIB fall semester-Mon-2 Li,IENI31ZL:Reservoir Simulation,,PHYA60ZL:Sound and Mathematical Physics,MATX30ZL:Advanced Topic in Modern Mathematical Sciences 1,,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 SHIRAI,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 ROSE,LANC10ZF:Beginners Chinese IIB fall semester-Mon-2 He,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 FERRARO,LANF10ZF:Beginners French IIB fall semester-Mon-2 Sakaguchi,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 OJIMA,LANF10ZF:Beginners French IIA fall semester-Mon-2 Konuma,,CSTX62ZL:Advanced Coastal Management,LANR10ZF:Beginners RussianIIA fall semester-Mon-2 Nampei,MATX15ZS:Physical Chemistry A,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 BURTON,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 TANAKA,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 DELGREGO,CMFE28ZL:Artistic Expression,INFE61ZL:Advanced Course in Computer Graphics,LANE30ZF:Technical Writing 2 Mon-2 KNIGHT,,,MGTX36ZL:Introduction to Mathematical Engineering,JOUX23ZL:Contemporary Mass Communication II,MATX23ZL:Introduction to Fourier Analysis,,,,,,,,,ELCX25ZL:Electric Machinery,ADEX27ZL:Building Services and Safety,INFH41ZL:Databases,CHMC21ZL:Inorganic Chemistry A,,,,CHMA38ZL:Medicinal Chemistry,,,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 ITO,PHYP35ZL:Introduction to experimental astrophysics and particle physics,,,MATX13ZL:Calculus A (1),MEDV30ZL:Infections and Defense Mechanisms in Humans,LANE10ZF:Academic Lecture Comprehension 2 Mon-2 PRICE,,,PHYB24ZL:Quantum Mechanics A,CHMC23ZL:Physical Chemistry B,INFP21ZW:C Programming  Densei2,INFP21ZW:C Programming Densei3,,,,,
3,ADEX26ZW:Experiments in Structural Mechanics,MATX11ZL:Mathematics A2  Kikan(3),,CSTX25ZL:Hydraulics B,PHYB15ZL:Introduction to Mathematics B;PHYP12ZL:Introduction to Mathematics B,,MGTX31ZL:Manufacturing Process Technologies;MGTX61ZL:Production Process Engineering,MGTX35ZL:Software Engineering;MGTX65ZL:Software Engineering,MATX11ZL:Mathematics A2  Kikan(2),MATX10ZL:Survey of Modern Mathematical Sciences A,LANF10ZF:Beginners French IIB fall semester-Mon-3 Konuma,LANE10ZF:Academic Reading 2 Mon-3 SUGAWARA,LANG10ZF:German IIA Gakuin class Fall Semester-Mon-3 Ishii;LANG20ZF:Intermediate German IIA Fall Semester-Mon-3 Ishii;LANG20ZF:German IIA Gakuin class Fall Semester-Mon-3 Ishii,,LANC10ZF:Beginners Chinese IIA fall semester-Mon-3 Tanaka,PHYB33ZL:Thermodynamics and Statistical Mechanics,CHMA20ZL:Introduction to Applied Chemistry,LANE10ZF:Communication Strategies 2 Mon-3 FERRARO,MEDC30ZL:Introduction to Clinical Medicine,,PHYB11ZL:Dynamics B,CHMC33ZW:Physical Chemistry : Experiment,,MATX21ZL:Foundations of Algebra A,,,,LANC10ZF:Beginners Chinese IIB fall semester-Mon-3 Xiong,INFP31ZL:Software Engineering,LANE10ZF:Academic Reading 2 Mon-3 YAGI,MTLX30ZL:Materials Physical Chemistry,,LANG10ZF:Beginners German IIA Fall Semester-Mon-3 Tanaka,MECX31ZL:Engine Design Engineering;MECX61ZL:Engine Design Engineering;MECX613L:Automobile Engineering B,LANE10ZF:Academic Reading 2 Mon-3 ROSE,,LANE10ZF:Communication Strategies 2 Mon-3 ITO,,LANS10ZF:Beginners Spanish IIA fall semester-Mon-3 Igaki,ELCX35ZL:Electric Power Engineering,LANC10ZF:Beginners Chinese IIB fall semester-Mon-3 He,,LANE10ZF:Academic Reading 2 Mon-3 JENNINGS,PHLR20ZL:Religions and World,ELCX20ZL:Circuit Theory B,,ARTH11ZL:Japanese Art and Architecture(1),,CMFE10ZL:Theater and Culture,LANE10ZF:Academic Reading 2 Mon-3 SLOBODNIUK,INFB21ZL:Computer Architecture A,ADEX21ZW:Architectural Expression II,MATX35ZL:Mathematics for Physics;MATX25ZL:Vector Analysis and Geometry,ARSV20ZL:East Asian Culture,MECX34ZL:Engineering Fracture Mechanics,ARTV18ZL:Science & Art,MATX20ZL:Discrete Mathematics;INFD21ZL:Discrete Mathematics,ELCX41ZL:Advanced Wireless Access;ELCX61ZL:Advanced Wireless Access,PHYA32ZL:Quantum Electronics,,ADEX28ZW:Survey and Construction Measurement,LITF18ZL:Literature and Science,,LANE10ZF:Academic Reading 2 Mon-3 TANAKA,LANS10ZF:Beginners Spanish IIB fall semester-Mon-3 Almaraz,,LITV10ZL:Comparative Literature,,LANE10ZF:Academic Reading 2 Mon-3 PRICE,,INFN61ZL:Design and Implementation of Programming Languages,MATX40ZL:Mathematical Programming;MATX60ZL:Topics in Operations Research,ADEX21ZW:Architectural Expression II,PHYB22ZL:Electromagnetism B,INFN101L:Introduction to C Programming [E] 01;INFP11ZW:Introduction to C Programming (3),,,ADEX26ZW:Experiments in Structural Mechanics,,,LANE10ZF:Academic Reading 2 Mon-3 SUZUKI
4,ADEX26ZW:Experiments in Structural Mechanics,PHYB33ZL:Phase Equilibrium,PHYA31ZL:Optics B,,ADEX33ZL:History of World Architecture,PLNX10ZL:Earth Science B,CMFM15ZL:Theories of Body,,MDAX23ZL:Cross-Media Business,,MECX27ZL:Engineering Thermodynamics,ELCX35ZL:Selected Topics in Power System Technologies,MATX60ZL:Topics in Nonlinear PDE B,CMMR684L:Modern Actuarial Risk Theory;MATX64ZL:Modern Actuarial Risk Theory,LANC10ZF:Beginners Chinese IIA fall semester-Mon-4 Tanaka,,,PHYB12ZL:Fundamental Electromagnetism,MEDC30ZL:Introduction to Clinical Medicine,,ELCX63ZL:Optoelectronic Devices,CHMC33ZW:Physical Chemistry : Experiment,,MATX23ZL:Foundations of Analysis 1,,,,,INFB21ZL:Computer Architecture,LANE10ZF:Academic Reading 2 Mon-4 SCHWIER,LAWG42ZL:An Introduction to Intellectual Property Rights (2);LAWG62ZL:An Introduction to Intellectual Property Rights B,PCSX60ZL:Advanced Hydrogen Energy Engineering,LANG10ZF:Beginners German IIA Fall Semester-Mon-4 Tanaka,ENVV36ZL:Geo-Environmental Engineering,,ARTV38ZW:Chromatic Creativity,LANE10ZF:Academic Reading 2 Mon-4 SHIRAI,,LANS10ZF:Beginners Spanish IIA fall semester-Mon-4 Igaki,MATX32ZL:Geometry C2;MATX42ZL:Geometry B2,LANC10ZF:Beginners Chinese IIB fall semester-Mon-4 Wa,ARTM20ZL:Sound and Music Expression,LANE10ZF:Academic Reading 2 Mon-4 BURTON,,CSTX11ZL:Environmental Engineering,,ARTH11ZL:Japanese Art and Architecture(1),,,LANE10ZF:Academic Reading 2 Mon-4 SLOBODNIUK,PHYP10ZL:Mathematical Physics for Classical Fields,ADEX21ZW:Architectural Expression II,PHYB34ZL:Mathematical Quantum Mechanics A;PHYB24ZL:Quantum Mechanics A,ELCX31ZW:Information Network System B,MECX24ZL:Strength of Materials 2,MECX33ZL:Turbomachinery,,INFB41ZL:Computer-Aided Design;INFB61ZL:Computer-Aided Design,,,ADEX28ZW:Survey and Construction Measurement,,,,,,,,LANE10ZF:Academic Reading 2 Mon-4 PRICE,,,,ADEX21ZW:Architectural Expression II,MECX27ZL:Engineering Thermodynamics,INFN101L:Introduction to C Programming [E] 02;INFP11ZW:Introduction to C Programming (4),INFN201L:C Programming [J/E] 01;INFP11ZW:C Programming  Kikan(8);INFP11ZW:C Programming (1) (APRIL Enrollees : 1st year / SEPTEMBER Enrollees : 2nd year),INFP11ZW:C Programming  Kikan(2),ADEX26ZW:Experiments in Structural Mechanics,,,LANE30ZF:Technical Writing 2 Mon-4 SUZUKI
5,,,,INFP21ZL:Data Structures and Algorithms,"ARTT11ZL:Film Studies, Sociohistory",ADEX24ZL:Architectural Planning B,ENVV15ZL:Contributions of Resources and Environmental Engineering to Human Society,MGTX68ZL:Case Studies on Management Issues,INFB61ZL:Cloud Systems,ADEX65ZL:Advanced Theory: Regenerative Design of the Built Environment;ADEX64ZL:Advanced Theory: Regenerative Design of the Built Environment,MECX27ZL:Engineering Thermodynamics,INFY41ZL:Bioinformatics,,INFK31ZL:Operating System B,LANC20ZF:Chinese IIA Gakuin class fall semester-Mon-5 Tanaka;LANC20ZF:Intermediate Chinese IIA fall semester-Mon-5 Tanaka,,,,MEDO31ZL:Basic Cancer Biology,,IENI60ZL:Advanced Energy and Systems Engineering,CHMC33ZW:Physical Chemistry : Experiment,ELCX34ZL:Sensor Technology,,ENVV30ZL:Global Marine Environments,LANE10ZF:Academic Reading 2 Mon-5 YAGI,CSTX10ZL:Introduction to Civil and Environmental Engineering,,,LANE10ZF:Academic Reading 2 Mon-5 SCHWIER,LANE10ZF:Academic Reading 2 Mon-5 JENNINGS,,LANE10ZF:Academic Reading 2 Mon-5 TANAKA,PHYA33ZL:Digital Signal Processing,LANE10ZF:Academic Reading 2 Mon-5 SHIRAI,,CHMM60ZL:Advanced Material Process Engineering,,,ARSE20ZL:Regional Studies: Russia,,PHYB11ZL:Dynamics B,LANE10ZF:Academic Reading 2 Mon-5 BURTON,MATX14ZL:Introduction to Probability and Statistics [E] 02;MATX14ZL:Introduction to Probability and Statistics (2),"PHYB11ZL:Dynamics B  Butsuri, Oubutsu (2)",,,,PHYB11ZL:Dynamics B  Oubutsu(1),LANE10ZF:Academic Reading 2 Mon-5 SLOBODNIUK,INFJ31ZL:Digital Broadcasting Technologies;ELCX31ZL:Digital Broadcasting Technologies,ADEX21ZW:Architectural Expression II,,,ADEX30ZL:Building Laws,MECX33ZL:Fluid Mechanics 2,,INFB41ZL:Computer-Aided Design;INFB61ZL:Computer-Aided Design,,ARSE20ZL:Regional Studies: Germany,ELCX20ZL:Circuit Theory A,CHMC62ZL:Chemical Synthesis Method;CHMC62ZL:Advanced Synthetic Chemistry,,ARTT33ZL:Visual Media Management B,,,,,LANE10ZF:Academic Reading 2 Mon-5 PRICE,PHYA20ZL:Engineering Acoustics,,,ADEX21ZW:Architectural Expression II,MECX27ZL:Engineering Thermodynamics,,,,,,,LANE30ZF:Technical Presentation Mon-5 SUZUKI
6,,,,,,,,,,ADEX65ZL:Advanced Theory: Regenerative Design of the Built Environment;ADEX64ZL:Advanced Theory: Regenerative Design of the Built Environment,,MECX23ZL:Fluid Dynamics F;MECX23ZL:Fluid Dynamics Fundamentals,MGTX60ZS:Seminar on Management Systems Analysis,,,,,,INFJ21ZL:Signal Processing,,,,,,,,,,STSX20ZL:Research Design and Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
