period,52-102,52-103,52-104,52-201,52-202,52-204,52-302,52-303,52-304,53-B01,53-B03,53-B04,53-101,53-103,53-104,53-201,53-203,53-204,53-301,53-303,53-304,53-401,53-403,53-404,54-B01,54-B02,54-B03,54-B04,54-101,54-102,54-103,54-104,54-201,54-202,54-203,54-204,54-301,54-302,54-303,54-304,54-401,54-402,54-403,54-404,55S-02-01,55S-03-01,55S-03-03,55S-03-07,55S-03-08,55S-03-09,56-101,56-102,56-103,56-104,57-201,57-202,60-102,60-202,61-102B,61-104,61-202,61-206,61-210,61-214,61-302,61-306,61-310,61-314,61-401,61-405,61-409,61-413,63-02-01,63-02-02,63PC-A,63PC-B,63PC-C,63PC-D,63PC-E,63PC-F,63PC-G
1,INFY20ZL:Basics of Intermedia Art and Science (Arts),MEDG24ZL:Physiology B,,,,CHMC11ZL:Inorganic Chemistry B,CHMA20ZS:Applied Chemistry: Exercises D,,,,ADEX38ZS:Practice of Construction Process,PCSX20ZL:Fundamentals of Chemical Engineering,LANE10ZF:Communication Strategies 2 Tue-1 HINTON,LANE10ZF:Communication Strategies 2 Tue-1 ROMANO,PHYB12ZL:Fundamental Electromagnetism,ECNA23ZL:Applied Economics D,LANE10ZF:Communication Strategies 2 Tue-1 TANAKA,LANE10ZF:Communication Strategies 2 Tue-1 WILLIAMS,,,LANE10ZF:Communication Strategies 2 Tue-1 WILCOX,CHMC32ZL:Organic Reaction Mechanism,,CHMA66ZL:Functional Polymers,,,LANE10ZF:Communication Strategies 2 Tue-1 MURPHY,LANE10ZF:Communication Strategies 2 Tue-1 ITO,,LANE10ZF:Academic Reading 2 Tue-1 TYNDALL,,LANE10ZF:Communication Strategies 2 Tue-1 RAYNER,LANE30ZF:Technical Writing 2 Tue-1 ORITA,,LANC10ZF:Beginners Chinese IIB fall semester-Tue-1 WU,,CHMA38ZL:Biochemistry D,,LANE10ZF:Communication Strategies 2 Tue-1 NADER,MATX13ZL:Calculus B (2),LANE10ZF:Communication Strategies 2 Tue-1 URUETA,,LANE10ZF:Academic Reading 2 Tue-1 YAGI,,,,,,,,ECNE20ZL:Macroeconomics B,ADEX38ZL:Building Materials II,,,,,,,,,,,,CHMC20ZL:General Chemistry B (3),,,STAX30ZL:Multivariate Analysis,,,,,,MEDD30ZL:Frontier of Neuroscience;MEDD40ZL:New Frontier of Neuroscience;MEDD60ZL:New Frontier of Neuroscience;MEDD60ZL:Frontier of Neuroscience,ELCX20ZL:Electronic Circuits,,,,INFV21ZW:Computer Science and Communications Engineering Laboratory A,,,
2,PHYB11ZL:Dynamics B  Shakou,MATX21ZL:Basic Algebra B,MATX23ZL:Complex Function Theory (FSE);MATX23ZL:Mathematics E  Kagaku,,,MECX22ZL:Control Engineering,,,CHMA10ZL:Mathematics for Chemistry B,LANG10ZF:Beginners German IIA Fall Semester-Tue-2 Haga,ADEX38ZS:Practice of Construction Process,INFI31ZL:Acoustic Communication,LANE10ZF:Communication Strategies 2 Tue-2 HINTON,LANC10ZF:Beginners Chinese IIB fall semester-Tue-2 Xiong,ENVV64ZL:Environmental Life Cycle Assessment,,LANE10ZF:Communication Strategies 2 Tue-2 TANAKA,LANE10ZF:Communication Strategies 2 Tue-2 WILLIAMS,BIOX24ZL:Molecular Cell Biology C,INFV61ZL:Algorithms in computational Biology;INFV61ZL:Algorithms in Computational Biology,LANE10ZF:Communication Strategies 2 Tue-2 WILCOX,,,PSYX27ZL:Social Psychology,,LANE20ZL:Technical English for Scientific Research B,LANE10ZF:Communication Strategies 2 Tue-2 MURPHY,LANE10ZF:Communication Strategies 2 Tue-2 ITO,ELCX62ZL:Hardware for Machine Learning,LANG10ZF:Beginners German IIB Fall Semester-Tue-2 Horiuchi,LANE10ZF:Communication Strategies 2 Tue-2 ROMANO,LANE10ZF:Communication Strategies 2 Tue-2 RAYNER,INFI31ZL:Machine Learning,INFI61ZL:Perceptual Computing;INFE61ZL:Perceptual Computing,LANC10ZF:Beginners Chinese IIA fall semester-Tue-2 WU (In English);LANC10ZF:Chinese II,BIOX13ZL:Biochemistry,LANE30ZL:Special Topics in Functional English Tue-2 ORITA,,LANE10ZF:Communication Strategies 2 Tue-2 NADER,,LANE10ZF:Communication Strategies 2 Tue-2 URUETA,LANE30ZF:Technical Presentation Tue-2 JUHASZ,,MECX63ZL:Advanced fluid machinery;MECX63ZL:Advanced Fluid Machinery,,PHYP67ZL:Surface and Interface Physics,,LANG30ZF:Advanced German II Fall Semester-Tue-2 Ishii,,MATX21ZL:Foundations of Algebra B,INFN31ZL:Programming Languages,ECNA20ZL:Contemporary Corporate,,ELCX20ZL:Electromagnetic Theory B,PHYP10ZL:Physics of wave phenomena,PHLV18ZL:Representations of Human,,,INFV31ZL:Programming Languages,,CHMC20ZL:General Chemistry B (1),,COMX60ZL:Introduction to Computational Experiment;PHYP62ZL:Computational Experiments,,,,,,,,,ELCX62ZL:MicroNanoBiotechnology;NANX60ZL:MicroNanoBiotechnology,PHYB33ZL:Statistical Mechanics B,MGTX26ZL:Fundamental Information Science,,,,INFV21ZW:Computer Science and Communications Engineering Laboratory A,,ADEX36ZL:Structural Analysis,
3,ELCX31ZL:Communication Quality Theory,MATX11ZL:Mathematics A2  Kikan(3),PSYX27ZL:Industrial and Organizational Psychology;PSYX27ZL:Organizational Behavior,,PHYB10ZL:Fundamental Physics B  Kikan(7),,BIOX20ZL:Information and Evolution of Life,,MECX11ZL:Design Engineering;MECX71ZL:Design Engineering;MECX61ZL:Design Engineering,LANG10ZF:German IIB Gakuin class Fall Semester-Tue-3 Haga;LANG20ZF:Intermediate German IIB Fall Semester-Tue-3 Haga;LANG20ZF:German IIB Gakuin class Fall Semester-Tue-3 Haga,MATX30ZL:Advanced Topic in Modern Mathematical Sciences 2,,LANC10ZF:Beginners Chinese IIA fall semester-Tue-3 Nagatomi,,,MGTX32ZL:Logistics,,CSTX66ZL:Structural Design B,,LANE10ZF:Academic Reading 2 Tue-3 ITO,LANS10ZF:Beginners Spanish IIB fall semester-Tue-3 Igaki,CHMC33ZW:Physical Chemistry : Experiment,,LANG10ZF:Beginners German IIB Fall Semester-Tue-3 Otsuka,LANE10ZF:Academic Reading 2 Tue-3 ROMANO,CHMC22ZL:Organic Chemistry A,LANE10ZF:Academic Reading 2 Tue-3 MURPHY,,SOCX12ZL:Social Research Method: Data Analysis,MATX30ZL:Foundations of Mathematics B,,LANC10ZF:Beginners Chinese IIA fall semester-Tue-3 Wang,CHMC33ZL:Physical Chemistry B,ECNA26ZL:Economics of Resources and Environment,LANF10ZF:Beginners French IIA fall semester-Tue-3 Noda,INFF31ZL:Interaction Design;INFF61ZL:Human Media Technology Study,PHYP65ZL:Advanced Elementary Particle Physics B,MATX20ZS:Exercises in Applied Mathematics B,MECX25ZL:Fundamentals of Robotics A;MECX25ZL:Mechatronics,LANC10ZF:Beginners Chinese IIB fall semester-Tue-3 Wu,LANE10ZF:Academic Reading 2 Tue-3 JUHASZ,,,,PHYB34ZL:Quantum Mechanics C;PHYB33ZL:Quantum Mechanics C,,,LANG10ZF:German IA Gakuin class Fall Semester-Tue-3 Ishii;LANG20ZF:Intermediate German IA Fall Semester-Tue-3 Ishii;LANG20ZF:German IA Gakuin class Fall Semester-Tue-3 Ishii,MEDG11ZW:Anatomy and Histology:Laboratory,,CSTX16ZL:Structural Mechanics B,CHMA21ZL:Analytical Chemistry A,MGTX26ZL:Introduction to Operations Research,PHYB23ZL:Thermodynamics,STSX12ZL:History of Science and Technology in Japan,ARTM21ZL:Music,,,,,,,,GENX10ZL:Good and Evil: Great Books of the Humanities (1),ADEX30ZW:Architectural Design I,,EDUX70ZL:Science and Education,,,INFI41ZL:Advanced Intelligent Software;INFI61ZL:Advanced Intelligent Software,,CSTX41ZL:Urban Metabolic System Engineering,,CHMC13ZL:Chemical Engineering A;PCSX20ZL:Chemical Engineering A,,,,,,,
4,,INFA21ZL:Theoretical Computer Science B,CMFE20ZS:Career Design B,,,,,MATX11ZL:Mathematics A2  Kikan(6),MECX11ZL:Design Engineering;MECX71ZL:Design Engineering;MECX61ZL:Design Engineering,LANR10ZF:Beginners RussianIIB fall semester-Tue-4 Ueno,ADEX68ZL:Advanced Building Construction Engineering,CSTX33ZS:Seminar on Planning and Management,MATX44ZL:Probability Theory B;MATX34ZL:Stochastic Processes;MATX64ZL:Topics in Probability Theory B,CSTX61ZL:Management of Social Systems for Urban Safety and Better Environment,LANC10ZF:Beginners Chinese IIB fall semester-Tue-4 Xiong,,,LANE10ZF:Concept Building And Discussion 2 Tue-4 HAIR,LANS10ZF:Beginners Spanish IIA fall semester-Tue-4 Yamamoto,,LANS10ZF:Beginners Spanish IIB fall semester-Tue-4 Igaki,CHMC33ZW:Physical Chemistry : Experiment,,ELCX63ZL:Advanced Semiconductor Engineering,PHLV38ZL:Mind and Consciousness;PHLV68ZL:Mind and Consciousness,,MATX60ZL:Mathematics of Soliton B;MATX65ZL:Mathematics for  Materials B,,MATX23ZL:Fourier Analysis,PHYP60ZL:Advanced Solid State Physics;PHYP67ZL:Physics of Low-dimensional Materials,MATX11ZL:Linear Algebra A (1),LANC20ZF:Chinese IIB Gakuin class fall semester-Tue-4 Wang;LANC20ZF:Intermediate Chinese IIB fall semester-Tue-4 Wang,ELCX30ZL:Electromagnetic Theory C,ELCX23ZL:Introduction to Quantum Materials Science,LANF30ZF:Advanced French II fall semester-Tue-4 Noda,INFI31ZL:Pattern Recognition,LANE10ZF:Concept Building And Discussion 2 Tue-4 HORIE,CSTX30ZS:Seminar on Environment & Disaster Prevention,CSTX36ZS:Seminar on Infrastructure,MATX34ZL:Stochastic Processes,LANE10ZF:Concept Building And Discussion 2 Tue-4 JUHASZ,MATX31ZL:Algebra C2,LANC10ZF:Beginners Chinese IIA fall semester-Tue-4 Li,,,,,,MEDG11ZW:Anatomy and Histology:Laboratory,,,,MGTX26ZS:Operations Research Workshop,PHYB10ZL:Fundamental Physics B  Kikan(3),GENX10ZL:Human Relationships in the Advanced Information Society,STSX22ZL:Science Technology and Modern Society,INFD31ZL:Information Mathematics,LANE10ZF:Concept Building And Discussion 2 Tue-4 DUPLICE,,INFG41ZL:Cryptographic Protocols and Blockchain Technologies;INFG61ZL:Cryptographic Protocols and Blockchain Technologies,INFI61ZL:Optimization Theory and Applications,,MATX65ZL:Topics in Mathematical  Structures of Materials B,,ADEX30ZW:Architectural Design I,,,,,,,MECX63ZL:Advanced Topics in Applied Mechanics of Fluid-Structure Interactions (Fluid Mechanics);MECX73ZL:Advanced Topics in Applied Mechanics of Fluid-Structure Interactions (Fluid Mechanics),,PHYB12ZL:Fundamental Electromagnetism  Ouka,IENI32ZS:Crust Information Engineering and Exercise,,,,,,
5,,,,,PHYB10ZL:Fundamental Physics B  Kikan(4),ELCX31ZL:Multimedia Systems A,,MATX11ZL:Mathematics A2  Kikan(6),PHLW10ZL:Introduction to Philosophy,MATX33ZL:Numerical Analysis and Simulation,,,ELCX65ZL:Advanced Electrical Energy Systems,INFY61ZL:Topics in Information Theory B;MECX65ZL:Analysis and Discussion of Papers on Advanced Robotics;MECX75ZL:Analysis and Discussion of Papers on Advanced Robotics,INFF61ZL:Applied media ergonomics,MATX34ZL:Introduction to Probability and Statistics B,INFB21ZL:Logic Circuits,LANE10ZF:Concept Building And Discussion 2 Tue-5 YAGI,LANS10ZF:Beginners Spanish IIA fall semester-Tue-5 Yamamoto,MECX10ZL:Control Systems,LANE10ZF:Concept Building And Discussion 2 Tue-5 HAIR,CHMC33ZW:Physical Chemistry : Experiment,CMMR683L:Theory and Practice of Pension;SOCX68ZL:Pension Actuarial Science,PHYB10ZL:Fundamental Physics B Kikan mirishu,CMFE22ZW:Video Production II,,,,MGTX65ZL:Advanced Network Technology,PHYA62ZZ:Physics and Engineering of Semiconductor Nano Devices,MATX11ZL:Linear Algebra A (2),ENVV64ZL:Human Life Sensing;ENVV642L:Human Life Sensing,,,LANE10ZF:Concept Building And Discussion 2 Tue-5 MURPHY,MEDG30ZS:Life Science and Medical Bio-science Seminar II,MECX24ZL:Strength of Materials B,MECX21ZL:Material Mechanics for Mechanical Design A;MECX21ZL:Material Mechanics Fundamentals,STSX24ZL:Research Ethics and Intellectual Property,INFY20ZL:Basics of Intermedia Art and Science (Science),LANE10ZF:Concept Building And Discussion 2 Tue-5 JUHASZ,LANE10ZF:Concept Building And Discussion 2 Tue-5 EJMONT,LANC10ZF:Beginners Chinese IIA fall semester-Tue-5 Li,GENX702L:Innovation for Industry and Career Design,ELCX34ZL:Measurement Engineering,,,PHLM10ZL:Introduction to Ethics (3);PHLM10ZL:Ethics (3),PHYB31ZL:Analytical Mechanics,,,,MECX24ZL:Advanced Material Mechanics,,MECX37ZL:Thermodynamics 2,,,LANE10ZF:Concept Building And Discussion 2 Tue-5 DUPLICE,,,,,,,ADEX30ZW:Architectural Design I,,,,LANE10ZF:Concept Building And Discussion 2 Tue-5 TANAKA,,,,,MECX13ZL:Fluid Dynamics F,IENI32ZS:Crust Information Engineering and Exercise,,,,,,
6,,ADEX16ZL:Theory of Structure I (2),ADEX26ZL:Contemporary Technological Design,,,,,,,,,,PHYP66ZL:Intense Laser Physics,MECX23ZL:Fluid Dynamics F;MECX23ZL:Fluid Dynamics Fundamentals,,,,,,,INFI31ZL:Cognitive Experiment Design;INFI61ZL:Cognitive Science Study,,,PHYB10ZL:Fundamental Physics B Kikan mirishu,CMFE22ZW:Video Production II,,,,,,,,,,,,,,,,,,,,,,,,TCPX203L:Teaching Methods in the Natural Sciences 2 C,,,CHMC10ZL:Chemistry C (RE);CHMC10ZL:Chemistry C  (RE),MECX24ZL:Advanced Material Mechanics,,,,,,,,,,,,,,,,,,,,,MECX13ZL:Fluid Dynamics F,,,,,,,
